kingdom,class,phylum,order,family,genus,species
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Argemone,Argemone subintegrifolia
Animalia,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina,Argentina sialis
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia carlcooki
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia oculata
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia pulla
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia tezpi
Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata
Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope aurantia
Animalia,Mollusca,Cephalopoda,Octopoda,Argonautidae,Argonauta,Argonauta argo
Animalia,Mollusca,Cephalopoda,Octopoda,Argonautidae,Argonauta,Argonauta nouryi
Animalia,Mollusca,Cephalopoda,Octopoda,Argonautidae,Argonauta,Argonauta argo
Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Argopecten,Argopecten ventricosus
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ditaxis,Ditaxis brandegeei
Plantae,Anthophyta,Dicotyledoneae,Euphorbiales,Euphorbiaceae,Argythamnia,Ditaxis lanceolata
Plantae,Anthophyta,Dicotyledoneae,Euphorbiales,Euphorbiaceae,Argythamnia,Ditaxis serrata
Animalia,Annelida,Polychaeta,Phyllodocida,Chrysopetalidae,Treptopale,Treptopale watsonae
Animalia,Annelida,Polychaeta,NA,Paraonidae,Aricidea,Acmira catherinae
